 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,281.8234,34,556,0,67,305,0,253.1600
2,,1,228.9239,1210,874,0,1261,674,0,206.4001
3,,1,215.8528,1076,378,0,1136,187,0,200.2024
4,,1,215.5097,1231,0,0,1209,147,0,148.6371
5,,1,214.6051,67,305,0,88,151,0,155.4252
6,,1,204.3675,544,183,0,726,221,0,185.9247
7,,1,203.7939,0,810,0,155,874,0,167.6932
8,,1,201.7401,577,655,0,763,691,0,189.4518
9,,1,201.3087,262,636,0,431,652,0,169.7557
10,,1,195.5929,430,336,0,585,434,0,183.3821
11,,1,193.9361,262,636,0,356,481,0,181.2760
12,,1,193.7056,60,560,0,190,694,0,186.6976
13,,1,190.8772,356,481,0,477,618,0,182.7840
14,,1,189.7645,812,349,0,920,487,0,175.2370
15,,1,188.8944,871,285,0,953,437,0,172.7078
16,,1,182.2376,1061,922,0,1210,888,0,152.8300
17,,1,177.4386,1223,1,0,1209,147,0,146.6697
18,,1,177.1665,912,856,0,1061,922,0,162.9632
19,,1,172.8823,1174,445,0,1222,292,0,160.3527
20,,1,172.2965,8,701,0,34,556,0,147.3126
21,,1,161.7817,997,127,0,1136,182,0,149.4858
22,,1,161.5807,694,371,0,763,238,0,149.8332
23,,1,161.3797,371,236,0,498,233,0,127.0354
24,,1,159.9361,577,655,0,687,550,0,152.0691
25,,1,159.4975,155,874,0,190,729,0,149.1643
26,,1,158.1543,88,151,0,129,291,0,145.8801
27,,1,157.4680,914,517,0,1052,564,0,145.7841
28,,1,156.2082,333,21,0,447,113,0,146.4923
29,,1,156.0955,36,40,0,89,138,0,111.4136
30,,1,154.8650,1096,781,0,1210,874,0,147.1224
31,,1,151.7401,544,183,0,596,61,0,132.6198
32,,1,151.6690,786,900,0,799,762,0,138.6110
33,,1,150.7523,190,729,0,313,788,0,136.4185
34,,1,149.5980,737,553,0,763,691,0,140.4279
35,,1,146.1127,192,291,0,329,313,0,138.7552
36,,1,144.7939,796,431,0,904,517,0,138.0580
37,,1,144.5563,356,481,0,367,341,0,140.4315
38,,1,141.2082,313,788,0,403,889,0,135.2812
39,,1,140.0538,753,65,0,797,186,0,128.7517
40,,1,138.6812,926,1,0,998,104,0,125.6702
41,,1,136.8234,799,762,0,905,835,0,128.7051
42,,1,134.7457,1209,147,0,1210,253,0,106.0047
43,,1,134.0955,430,336,0,498,233,0,123.4220
44,,1,133.7523,905,835,0,975,732,0,124.5351
45,,1,133.3259,1133,721,0,1236,671,0,114.4945
46,,1,132.9533,705,32,0,790,55,0,88.0568
47,,1,132.3675,569,784,0,647,870,0,116.1034
48,,1,132.2254,758,431,0,806,539,0,118.1863
49,,1,129.3087,596,61,0,685,147,0,123.7619
50,,1,124.9828,664,39,0,685,147,0,110.0227
51,,1,124.0122,1058,562,0,1083,450,0,114.7563
52,,1,120.1960,192,291,0,246,194,0,111.0180
53,,1,119.9117,165,528,0,60,560,0,109.7679
54,,1,114.9949,155,874,0,241,944,0,110.8873
55,,1,113.5563,1043,673,0,1052,564,0,109.3709
56,,1,112.8823,825,86,0,911,141,0,102.0833
57,,1,111.8234,447,113,0,529,185,0,109.1238
58,,1,109.8823,473,758,0,563,710,0,102.0000
59,,1,109.3259,477,618,0,571,655,0,101.0198
60,,1,109.0244,859,177,0,874,257,0,81.3941
61,,1,108.5391,875,726,0,931,643,0,100.1249
62,,1,107.5685,473,758,0,516,846,0,97.9439
63,,1,107.1127,806,539,0,904,517,0,100.4390
64,,1,107.0955,878,928,0,882,904,0,24.3311
65,,1,106.9117,1174,445,0,1194,537,0,94.1488
66,,1,106.3259,585,434,0,668,479,0,94.4140
67,,1,105.8823,634,908,0,720,932,0,89.2861
68,,1,104.2670,1136,187,0,1210,253,0,99.1564
69,,1,102.7696,1133,721,0,1165,635,0,91.7606
70,,1,102.3137,535,914,0,634,908,0,99.1817
71,,1,101.8528,1076,378,0,1083,450,0,72.3395
72,,1,101.4558,427,3,0,333,21,0,95.7079
73,,1,100.9346,763,238,0,786,329,0,93.8616
74,,1,100.5685,268,174,0,352,214,0,93.0376
75,,1,99.8112,793,719,0,875,726,0,82.2982
76,,1,99.1838,1222,292,0,1267,360,0,81.5414
77,,1,97.7990,89,138,0,103,46,0,93.0591
78,,1,97.7817,190,694,0,262,636,0,92.4554
79,,1,97.2670,811,187,0,874,257,0,94.1754
80,,1,96.2254,668,479,0,713,402,0,89.1852
81,,1,96.1543,205,116,0,246,194,0,88.1192
82,,1,96.0416,358,130,0,447,113,0,90.6091
83,,1,95.3970,1279,588,0,1212,535,0,85.4283
84,,1,94.9828,329,313,0,371,236,0,87.7097
85,,1,94.1249,714,381,0,786,329,0,88.8144
86,,1,94.0833,1131,555,0,1165,635,0,86.9253
87,,1,92.6569,825,86,0,825,177,0,91.0000
88,,1,92.6396,585,434,0,638,368,0,84.6463
89,,1,91.7990,911,141,0,997,127,0,87.1321
90,,1,91.1421,1061,922,0,1071,835,0,87.5728
91,,1,90.9828,685,147,0,726,221,0,84.5991
92,,1,88.6274,796,431,0,812,349,0,83.5464
93,,1,88.0538,516,846,0,569,784,0,81.5659
94,,1,87.4975,1136,182,0,1209,147,0,80.9568
95,,1,86.8823,808,337,0,871,285,0,81.6884
96,,1,86.6396,931,643,0,986,701,0,79.9312
97,,1,86.4975,1165,635,0,1236,671,0,79.6053
98,,1,86.2548,313,788,0,386,756,0,79.7057
99,,1,84.2843,429,764,0,439,840,0,76.6551
100,,1,84.2132,298,128,0,305,50,0,78.3135
101,,1,84.1838,1043,673,0,1072,744,0,76.6942
102,,1,83.9828,576,322,0,638,368,0,77.2010
103,,1,81.5269,1247,431,0,1267,360,0,73.7631
104,,1,79.7401,1212,535,0,1252,475,0,72.1110
105,,1,78.8701,668,479,0,687,550,0,73.4983
106,,1,78.6396,43,1,0,103,46,0,75.0000
107,,1,78.4853,563,710,0,569,784,0,74.2428
108,,1,77.1127,596,61,0,664,39,0,71.4703
109,,1,76.7279,1058,562,0,1131,555,0,73.3348
110,,1,75.7107,998,104,0,1053,54,0,74.3303
111,,1,75.6985,352,214,0,371,147,0,69.6419
112,,1,75.6396,893,882,0,937,936,0,69.6563
113,,1,74.7990,737,553,0,806,539,0,70.4060
114,,1,74.3457,1015,785,0,1072,744,0,70.2140
115,,1,72.2843,431,652,0,450,715,0,65.8027
116,,1,71.3166,975,732,0,1015,785,0,66.4003
117,,1,71.0833,912,856,0,969,822,0,66.3702
118,,1,70.9411,1053,54,0,1104,20,0,61.2944
119,,1,70.4558,1131,555,0,1194,537,0,65.5210
120,,1,69.8406,859,177,0,911,141,0,63.2456
121,,1,69.4264,986,701,0,1043,673,0,63.5059
122,,1,68.9828,888,892,0,937,936,0,65.8559
123,,1,68.9411,477,939,0,535,914,0,63.1585
124,,1,68.6274,67,305,0,129,291,0,63.5610
125,,1,68.0122,403,889,0,439,840,0,60.8030
126,,1,67.8701,515,855,0,535,914,0,62.2977
127,,1,66.7279,1174,445,0,1237,440,0,63.1981
128,,1,66.4909,763,238,0,797,186,0,62.1289
129,,1,65.0711,367,341,0,430,336,0,63.1981
130,,1,64.5269,439,840,0,468,889,0,56.9386
131,,1,64.4264,433,936,0,468,889,0,58.6003
132,,1,64.3553,1071,835,0,1096,781,0,59.5063
133,,1,63.6690,920,487,0,953,437,0,59.9083
134,,1,63.1838,694,881,0,720,932,0,57.2451
135,,1,63.1543,670,871,0,717,832,0,61.0737
136,,1,63.0833,969,822,0,1015,785,0,59.0339
137,,1,63.0000,129,291,0,192,291,0,63.0000
138,,1,61.6690,468,889,0,515,855,0,58.0086
139,,1,61.6690,705,32,0,753,65,0,58.2495
140,,1,61.5980,241,944,0,269,948,0,28.2843
141,,1,60.8406,498,233,0,529,185,0,57.1402
142,,1,60.8284,298,128,0,358,130,0,60.0333
143,,1,60.6690,431,652,0,477,618,0,57.2014
144,,1,60.1838,953,437,0,998,406,0,54.6443
145,,1,59.1127,1021,357,0,998,406,0,54.1295
146,,1,58.9706,230,65,0,230,119,0,54.0000
147,,1,58.3137,563,710,0,571,655,0,55.5788
148,,1,58.0711,638,368,0,694,371,0,56.0803
149,,1,57.8701,129,40,0,179,21,0,53.4883
150,,1,57.5980,177,70,0,205,116,0,53.8516
151,,1,57.0122,713,402,0,758,431,0,53.5350
152,,1,56.4558,177,70,0,179,21,0,49.0408
153,,1,54.9117,1097,761,0,1133,721,0,53.8145
154,,1,53.2843,243,0,0,198,20,0,49.2443
155,,1,53.2548,230,119,0,269,152,0,51.0882
156,,1,51.6274,1252,475,0,1267,431,0,46.4866
157,,1,51.5980,694,881,0,730,849,0,48.1664
158,,1,51.5980,790,55,0,825,86,0,46.7547
159,,1,51.4558,786,900,0,798,936,0,37.9473
160,,1,51.2426,687,550,0,737,553,0,50.0899
161,,1,51.2132,450,715,0,467,756,0,44.3847
162,,1,51.1127,230,65,0,258,29,0,45.6070
163,,1,50.9706,1058,10,0,1104,20,0,47.0744
164,,1,50.7990,917,604,0,931,643,0,41.4367
165,,1,50.5269,1015,785,0,1040,824,0,46.3249
166,,1,49.7279,212,30,0,258,29,0,46.0109
167,,1,49.2548,1241,923,0,1210,888,0,46.7547
168,,1,48.2132,969,822,0,1011,837,0,44.5982
169,,1,47.6985,413,738,0,450,715,0,43.5660
170,,1,46.8284,401,935,0,403,889,0,46.0435
171,,1,46.1127,268,28,0,305,50,0,43.0465
172,,1,45.4853,793,719,0,799,762,0,43.4166
173,,1,45.4558,760,942,0,798,944,0,38.0526
174,,1,44.7990,268,28,0,305,12,0,40.3113
175,,1,44.2132,212,30,0,230,65,0,39.3573
176,,1,44.1421,720,932,0,760,942,0,41.2311
