Radius_Values,Frequency
0,0
1,24
2,118
3,103
4,170
5,154
6,222
7,423
8,559
9,551
10,261
11,264
12,211
13,370
14,315
15,294
16,363
17,203
18,142
19,144
20,195
21,239
22,149
23,179
24,171
25,151
26,128
27,149
28,164
29,95
30,72
31,77
32,93
33,88
34,99
35,85
36,37
37,66
38,64
39,76
40,95
41,57
42,54
43,35
44,42
45,35
46,36
47,43
48,34
49,15
50,14
51,15
52,8
53,5
54,11
55,30
56,20
57,16
58,14
59,20
60,14
61,1
62,0
63,5
64,8
65,1
66,7
67,23
68,15
69,3
70,1
71,0
72,1
73,1
74,20
75,28
76,8
77,2
78,2
79,2
80,2
81,5
82,5
83,9
84,12
85,8
86,2
87,2
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,7
97,3
98,4
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
