 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,307.4214,459,1,0,356,264,0,282.4500
2,,1,266.5168,63,655,0,262,492,0,257.2353
3,,1,230.0193,395,299,0,568,167,0,217.6074
4,,1,223.2203,32,459,0,162,309,0,198.4943
5,,1,213.8112,32,459,0,63,655,0,198.4364
6,,1,195.8356,893,90,0,1047,155,0,167.1556
7,,1,191.6812,865,556,0,889,722,0,167.7260
8,,1,187.2670,170,734,0,328,669,0,170.8479
9,,1,186.3209,215,156,0,356,264,0,177.6091
10,,1,184.0660,1279,881,0,1202,730,0,169.4993
11,,1,182.5219,286,824,0,427,920,0,170.5784
12,,1,182.0833,497,442,0,525,610,0,170.3174
13,,1,180.7696,1058,549,0,1228,575,0,171.9767
14,,1,177.0782,286,824,0,390,690,0,169.6231
15,,1,174.9533,162,309,0,215,156,0,161.9197
16,,1,173.6102,955,211,0,1105,216,0,150.0833
17,,1,168.1665,1039,45,0,1172,30,0,133.8432
18,,1,167.7401,858,544,0,1010,506,0,156.6780
19,,1,166.6812,76,681,0,110,822,0,145.0414
20,,1,166.1371,1012,485,0,1142,402,0,154.2368
21,,1,162.2082,865,556,0,973,660,0,149.9333
22,,1,160.2254,32,459,0,173,414,0,148.0068
23,,1,156.7229,1278,182,0,1158,265,0,145.9075
24,,1,153.9239,663,487,0,674,614,0,127.4755
25,,1,152.6102,283,958,0,222,833,0,139.0899
26,,1,151.5563,525,610,0,672,621,0,147.4110
27,,1,149.9361,170,728,0,276,629,0,145.0414
28,,1,149.0122,278,427,0,414,397,0,139.2695
29,,1,144.2132,262,492,0,276,629,0,137.7135
30,,1,143.7939,850,123,0,955,211,0,137.0000
31,,1,140.0660,674,614,0,778,534,0,131.2098
32,,1,134.8112,513,769,0,561,881,0,121.8524
33,,1,133.4680,545,445,0,585,332,0,119.8708
34,,1,132.8823,216,143,0,262,30,0,122.0041
35,,1,132.6396,611,270,0,725,225,0,122.5602
36,,1,132.0660,921,339,0,1011,425,0,124.4829
37,,1,131.1249,1039,45,0,1149,80,0,115.4340
38,,1,130.9949,0,235,0,80,143,0,121.9180
39,,1,130.6985,1213,697,0,1228,575,0,122.9187
40,,1,128.6274,895,73,0,1017,59,0,122.8007
41,,1,127.5685,701,351,0,741,240,0,117.9873
42,,1,126.4802,611,270,0,701,351,0,121.0826
43,,1,126.4558,1228,575,0,1246,462,0,114.4246
44,,1,125.0416,819,260,0,820,378,0,118.0042
45,,1,124.1960,1140,135,0,1241,79,0,115.4859
46,,1,122.1960,1032,605,0,1046,702,0,98.0051
47,,1,118.9117,568,167,0,606,269,0,108.8485
48,,1,117.2132,567,929,0,678,934,0,111.1126
49,,1,117.1543,1,868,0,95,852,0,95.3520
50,,1,115.9239,961,773,0,1048,706,0,109.8089
51,,1,114.7817,652,825,0,561,881,0,106.8504
52,,1,113.5391,955,211,0,1009,301,0,104.9571
53,,1,113.4680,76,681,0,170,728,0,105.0952
54,,1,112.6812,685,660,0,750,744,0,106.2121
55,,1,112.5097,462,398,0,540,326,0,106.1508
56,,1,112.4264,1216,364,0,1246,462,0,102.4890
57,,1,111.1665,700,492,0,774,415,0,106.7942
58,,1,110.7817,581,26,0,669,67,0,97.0824
59,,1,110.6102,129,86,0,216,143,0,104.0096
60,,1,110.3848,173,414,0,278,427,0,105.8017
61,,1,109.3259,176,27,0,262,30,0,86.0523
62,,1,109.2548,1017,59,0,1047,155,0,100.5783
63,,1,108.4680,926,884,0,1012,834,0,99.4786
64,,1,108.0538,798,535,0,820,446,0,91.6788
65,,1,107.1249,1106,854,0,1174,921,0,95.4620
66,,1,106.8823,1171,402,0,1246,462,0,96.0469
67,,1,105.8701,395,299,0,414,397,0,99.8248
68,,1,102.8823,785,193,0,846,123,0,92.8493
69,,1,102.7401,469,688,0,513,769,0,92.1792
70,,1,101.7817,469,688,0,525,610,0,96.0208
71,,1,101.7401,675,746,0,685,660,0,86.5794
72,,1,99.8823,772,69,0,846,123,0,91.6079
73,,1,97.1543,700,492,0,778,534,0,88.5889
74,,1,96.8112,693,56,0,772,69,0,80.0625
75,,1,96.5685,820,378,0,899,337,0,89.0056
76,,1,95.7696,21,23,0,106,47,0,88.3233
77,,1,95.5980,700,893,0,702,809,0,84.0238
78,,1,94.8528,1076,338,0,1142,402,0,91.9348
79,,1,94.4264,344,0,0,262,30,0,87.3155
80,,1,94.3848,1172,30,0,1261,43,0,89.9444
81,,1,93.9706,1098,823,0,1110,734,0,89.8053
82,,1,93.6569,1110,734,0,1202,730,0,92.0869
83,,1,93.3259,973,660,0,1046,702,0,84.2200
84,,1,92.7696,545,445,0,627,471,0,86.0233
85,,1,92.3137,635,726,0,546,718,0,89.3588
86,,1,91.7401,973,660,0,1032,605,0,80.6598
87,,1,91.1421,693,56,0,767,33,0,77.4919
88,,1,90.7401,736,885,0,811,847,0,84.0773
89,,1,90.5563,1012,834,0,1098,823,0,86.7006
90,,1,90.4975,1094,321,0,1169,297,0,78.7464
91,,1,88.4680,1277,645,0,1213,697,0,82.4621
92,,1,88.4680,819,260,0,888,307,0,83.4865
93,,1,88.1960,1,719,0,62,659,0,85.5628
94,,1,87.2670,1278,295,0,1217,357,0,86.9770
95,,1,86.5685,106,47,0,176,27,0,72.8011
96,,1,86.3553,601,100,0,669,67,0,75.5844
97,,1,85.8112,1025,325,0,1093,290,0,76.4788
98,,1,85.5980,741,240,0,814,253,0,74.1485
99,,1,85.4142,169,819,0,170,734,0,85.0059
100,,1,85.0416,678,934,0,756,927,0,78.3135
101,,1,84.5685,1169,297,0,1217,357,0,76.8375
102,,1,84.3259,1278,148,0,1241,79,0,78.2943
103,,1,82.5685,854,865,0,894,799,0,77.1751
104,,1,82.1249,961,773,0,1012,834,0,79.5110
105,,1,82.0833,779,779,0,811,847,0,75.1532
106,,1,81.7817,840,14,0,895,73,0,80.6598
107,,1,81.5269,1011,425,0,1035,354,0,74.9466
108,,1,81.0833,1106,202,0,1140,135,0,75.1332
109,,1,80.8701,767,33,0,840,14,0,75.4321
110,,1,80.6690,568,167,0,601,100,0,74.6860
111,,1,80.6569,390,690,0,469,688,0,79.0253
112,,1,79.8701,854,865,0,926,884,0,74.4648
113,,1,79.7817,1111,650,0,1056,707,0,79.2086
114,,1,79.6396,1047,155,0,1106,202,0,75.4321
115,,1,79.0538,80,143,0,129,86,0,75.1665
116,,1,78.7696,675,746,0,702,809,0,68.5420
117,,1,77.7696,894,799,0,961,773,0,71.8679
118,,1,77.0538,627,471,0,680,420,0,73.5527
119,,1,75.1543,771,922,0,782,917,0,12.0830
120,,1,75.1543,1072,929,0,1081,914,0,17.4929
121,,1,74.9828,129,79,0,176,27,0,70.0928
122,,1,74.3970,95,886,0,140,940,0,70.2922
123,,1,73.9706,968,730,0,899,720,0,69.7209
124,,1,73.6274,680,420,0,745,402,0,67.4463
125,,1,73.2843,484,934,0,545,946,0,62.1691
126,,1,72.0122,785,193,0,814,253,0,66.6408
127,,1,71.6985,585,332,0,606,269,0,66.4078
128,,1,71.4975,276,629,0,328,669,0,65.6049
129,,1,71.0833,860,742,0,894,799,0,66.3702
130,,1,70.6985,328,669,0,390,690,0,65.4599
131,,1,70.3553,1081,914,0,1106,854,0,65.0000
132,,1,69.6396,886,942,0,925,891,0,64.2028
133,,1,69.5563,945,313,0,1009,301,0,65.1153
134,,1,69.3259,675,746,0,722,790,0,64.3817
135,,1,68.7401,1010,506,0,1058,549,0,64.4438
