 ,Angle,Frequency,Normalized Frequency
1,-90,6602.9520,0.0156
2,-89,6515.8182,0.0153
3,-88,4413.9530,0.0104
4,-87,5042.5135,0.0119
5,-86,4335.5487,0.0102
6,-85,4461.1688,0.0105
7,-84,3288.8685,0.0077
8,-83,2511.0721,0.0059
9,-82,2633.0958,0.0062
10,-81,2616.0304,0.0062
11,-80,2232.6532,0.0053
12,-79,2780.4213,0.0065
13,-78,3121.0560,0.0074
14,-77,1834.9723,0.0043
15,-76,1505.8248,0.0035
16,-75,910.0641,0.0021
17,-74,793.2291,0.0019
18,-73,1074.0011,0.0025
19,-72,1959.3204,0.0046
20,-71,2117.1410,0.0050
21,-70,1457.5748,0.0034
22,-69,985.0690,0.0023
23,-68,794.1776,0.0019
24,-67,710.3252,0.0017
25,-66,613.1265,0.0014
26,-65,500.7407,0.0012
27,-64,421.4410,0.0010
28,-63,496.6414,0.0012
29,-62,309.1971,0.0007
30,-61,167.0895,0.0004
31,-60,140.9121,0.0003
32,-59,209.5055,0.0005
33,-58,435.9764,0.0010
34,-57,385.0615,0.0009
35,-56,735.4852,0.0017
36,-55,1474.7010,0.0035
37,-54,1444.4535,0.0034
38,-53,1097.3075,0.0026
39,-52,1123.1486,0.0026
40,-51,1099.1261,0.0026
41,-50,1037.1632,0.0024
42,-49,1085.0033,0.0026
43,-48,1358.7538,0.0032
44,-47,2194.6715,0.0052
45,-46,3595.2987,0.0085
46,-45,6339.9808,0.0149
47,-44,8330.9091,0.0196
48,-43,5351.9252,0.0126
49,-42,4566.0350,0.0108
50,-41,4086.0189,0.0096
51,-40,3811.6180,0.0090
52,-39,3311.9301,0.0078
53,-38,2724.5565,0.0064
54,-37,2417.7230,0.0057
55,-36,2260.3915,0.0053
56,-35,2278.6757,0.0054
57,-34,2423.7904,0.0057
58,-33,3097.4388,0.0073
59,-32,3460.5121,0.0081
60,-31,558.9618,0.0013
61,-30,265.7312,0.0006
62,-29,296.9342,0.0007
63,-28,398.1345,0.0009
64,-27,92.1047,0.0002
65,-26,0.0000,0.0000
66,-25,123.7633,0.0003
67,-24,397.6986,0.0009
68,-23,328.8298,0.0008
69,-22,397.5144,0.0009
70,-21,459.9463,0.0011
71,-20,530.9124,0.0013
72,-19,723.5144,0.0017
73,-18,1012.8529,0.0024
74,-17,922.8429,0.0022
75,-16,439.3350,0.0010
76,-15,516.5782,0.0012
77,-14,371.8369,0.0009
78,-13,301.3301,0.0007
79,-12,396.8125,0.0009
80,-11,563.8826,0.0013
81,-10,640.4978,0.0015
82,-9,848.5758,0.0020
83,-8,1027.8905,0.0024
84,-7,1279.2882,0.0030
85,-6,2539.0309,0.0060
86,-5,3787.7513,0.0089
87,-4,5095.3251,0.0120
88,-3,4935.0590,0.0116
89,-2,3089.3036,0.0073
90,-1,5190.3158,0.0122
91,0,8639.3358,0.0203
92,1,6381.4799,0.0150
93,2,3611.6429,0.0085
94,3,2328.1949,0.0055
95,4,1991.0773,0.0047
96,5,2584.2792,0.0061
97,6,3958.0624,0.0093
98,7,2575.6036,0.0061
99,8,1811.0741,0.0043
100,9,1310.8942,0.0031
101,10,937.9410,0.0022
102,11,1241.8663,0.0029
103,12,1159.6112,0.0027
104,13,890.9215,0.0021
105,14,799.8534,0.0019
106,15,1268.8861,0.0030
107,16,1019.1542,0.0024
108,17,717.2708,0.0017
109,18,662.4291,0.0016
110,19,1405.1901,0.0033
111,20,2241.1268,0.0053
112,21,1494.4359,0.0035
113,22,1052.7955,0.0025
114,23,738.0472,0.0017
115,24,715.6206,0.0017
116,25,793.7733,0.0019
117,26,947.3839,0.0022
118,27,1410.2677,0.0033
119,28,1875.3304,0.0044
120,29,3644.8915,0.0086
121,30,3401.0887,0.0080
122,31,2525.1180,0.0059
123,32,2479.3866,0.0058
124,33,2357.6188,0.0056
125,34,2427.1215,0.0057
126,35,2605.7491,0.0061
127,36,2961.4886,0.0070
128,37,3274.3885,0.0077
129,38,3267.0272,0.0077
130,39,3632.3544,0.0086
131,40,3471.8549,0.0082
132,41,6520.8422,0.0154
133,42,12699.9716,0.0299
134,43,7822.3260,0.0184
135,44,8320.6591,0.0196
136,45,10443.2811,0.0246
137,46,9734.2948,0.0229
138,47,8828.4061,0.0208
139,48,6175.4076,0.0145
140,49,5399.5272,0.0127
141,50,5781.8085,0.0136
142,51,3585.6923,0.0084
143,52,1937.9755,0.0046
144,53,1349.4935,0.0032
145,54,777.3094,0.0018
146,55,643.2538,0.0015
147,56,670.5903,0.0016
148,57,594.1102,0.0014
149,58,542.1123,0.0013
150,59,581.4216,0.0014
151,60,655.1399,0.0015
152,61,717.2008,0.0017
153,62,555.5686,0.0013
154,63,482.9806,0.0011
155,64,438.8225,0.0010
156,65,733.4420,0.0017
157,66,1056.6144,0.0025
158,67,790.3280,0.0019
159,68,790.9845,0.0019
160,69,887.9930,0.0021
161,70,929.3361,0.0022
162,71,1490.8534,0.0035
163,72,5929.4999,0.0140
164,73,6524.0326,0.0154
165,74,3631.5311,0.0086
166,75,1609.1024,0.0038
167,76,1446.0641,0.0034
168,77,1727.7377,0.0041
169,78,2248.4974,0.0053
170,79,864.6532,0.0020
171,80,604.2836,0.0014
172,81,534.3113,0.0013
173,82,560.0964,0.0013
174,83,710.3719,0.0017
175,84,888.2086,0.0021
176,85,1271.5687,0.0030
177,86,1587.4171,0.0037
178,87,1907.2604,0.0045
179,88,2591.8600,0.0061
180,89,2926.9076,0.0069
