 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,3294,244.3087,67.6070,62.0358,87.7342,0.6935,1.0898,0.9176,0.9316
2,,2532,212.7939,75.0212,42.9724,68.4053,0.7027,1.7458,0.5728,0.8767
3,,82,34.3848,13.3018,7.8490,4.8821,0.8715,1.6947,0.5901,0.9162
4,,337,97.7817,45.0397,9.5268,45.3015,0.4429,4.7277,0.2115,0.8641
5,,250,58.5269,19.1880,16.5890,59.0609,0.9171,1.1567,0.8646,0.9434
6,,2519,258.4924,88.5177,36.2333,38.9052,0.4737,2.4430,0.4093,0.8928
7,,59,28.1421,11.1330,6.7476,159.1449,0.9362,1.6499,0.6061,0.9440
8,,3145,239.4802,80.3624,49.8285,79.4835,0.6891,1.6128,0.6200,0.9460
9,,9070,531.2691,197.3812,58.5075,31.0813,0.4038,3.3736,0.2964,0.7452
10,,1594,180.5513,62.0056,32.7316,153.3212,0.6145,1.8944,0.5279,0.9404
11,,4780,388.9605,165.8319,36.7003,157.8654,0.3970,4.5185,0.2213,0.9537
12,,10876,443.0854,171.3727,80.8049,151.5760,0.6962,2.1208,0.4715,0.9761
13,,14840,495.2864,146.4601,129.0104,136.3035,0.7602,1.1353,0.8809,0.9801
14,,5970,435.1026,124.4325,61.0873,38.0681,0.3963,2.0370,0.4909,0.7744
15,,3688,334.7178,117.5723,39.9389,155.6026,0.4137,2.9438,0.3397,0.8987
16,,430,88.1838,28.7099,19.0698,10.3130,0.6949,1.5055,0.6642,0.9208
17,,2877,247.5635,75.8708,48.2809,40.9222,0.5899,1.5714,0.6364,0.9341
18,,8932,379.4630,130.6529,87.0442,84.6506,0.7795,1.5010,0.6662,0.9781
19,,462,103.4975,41.5448,14.1591,111.5519,0.5420,2.9341,0.3408,0.8910
20,,2728,233.0366,72.7268,47.7596,111.5361,0.6313,1.5228,0.6567,0.9507
21,,176,54.6274,19.5397,11.4684,12.6764,0.7411,1.7038,0.5869,0.9096
22,,173,55.6985,22.0834,9.9745,166.7195,0.7008,2.2140,0.4517,0.9010
23,,7870,353.2620,118.7462,84.3850,91.7025,0.7925,1.4072,0.7106,0.9725
24,,1049,150.8528,41.6041,32.1033,39.6105,0.5793,1.2959,0.7716,0.8546
25,,2027,269.3036,123.7132,20.8616,50.6430,0.3512,5.9302,0.1686,0.8939
26,,1231,138.1249,50.6512,30.9441,158.9251,0.8108,1.6369,0.6109,0.9602
27,,1051,135.5391,43.7434,30.5915,102.4099,0.7189,1.4299,0.6993,0.9468
28,,13029,442.8600,138.4739,119.7990,112.9885,0.8348,1.1559,0.8651,0.9815
29,,1066,157.2376,57.0106,23.8074,62.9416,0.5418,2.3947,0.4176,0.8437
30,,976,134.1249,40.9757,30.3273,15.5804,0.6818,1.3511,0.7401,0.9203
31,,347,76.4264,25.5931,17.2630,105.2827,0.7465,1.4825,0.6745,0.9303
32,,2005,225.9655,87.5533,29.1576,17.0353,0.4934,3.0028,0.3330,0.9398
33,,97,35.7990,13.2060,9.3521,132.3053,0.9511,1.4121,0.7082,0.9417
34,,1977,198.3087,69.2756,36.3359,166.1612,0.6317,1.9065,0.5245,0.9385
35,,9693,403.7473,138.7653,88.9380,179.0949,0.7472,1.5602,0.6409,0.9784
36,,13980,497.0854,172.7668,103.0284,29.6089,0.7110,1.6769,0.5963,0.9474
37,,23454,574.4996,175.4275,170.2273,144.8109,0.8930,1.0305,0.9704,0.9889
38,,5310,296.0660,106.4673,63.5021,150.8260,0.7612,1.6766,0.5964,0.9772
39,,2240,220.3675,73.8808,38.6035,174.5546,0.5796,1.9138,0.5225,0.9532
40,,10606,417.0021,152.8612,88.3414,49.0462,0.7665,1.7303,0.5779,0.9805
41,,4656,308.0488,102.5306,57.8188,2.5920,0.6166,1.7733,0.5639,0.9335
42,,7660,378.5757,127.5848,76.4434,171.5766,0.6716,1.6690,0.5992,0.9276
43,,14712,469.9899,138.8986,134.8602,76.6687,0.8370,1.0299,0.9709,0.9843
44,,5562,662.2641,130.0593,54.4502,119.9530,0.1594,2.3886,0.4187,0.4858
45,,929,131.8823,49.8596,23.7234,13.1611,0.6712,2.1017,0.4758,0.9374
46,,24158,1261.9869,249.4207,123.3215,105.5482,0.1906,2.0225,0.4944,0.7787
47,,2455,217.6224,84.2377,37.1070,26.4930,0.6514,2.2701,0.4405,0.9453
48,,2260,219.8061,95.9629,29.9858,131.0074,0.5878,3.2003,0.3125,0.9426
