Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,33.6281, ,Mean Pore Area,4975.2658
Histogram Mean,19.0220, ,Pore Area SD,7652.5155
Histogram SD,10.5998, ,Min. Pore Area,25.0000
Histogram Mode,18.0000, ,Max. Pore Area,35214.0000
Histogram Median,24.0000, ,Percent Porosity,0.4032
Histogram Min Diam.,2.0000, ,Number of Pores,79.0000
Histogram Max Diam.,110.0000, ,# of Intersections,203.0000
Histogram Integrated Density,176906.0000, ,Intersection Density (100x100px),1.6520
Histogram Raw Integrated Density,176906.0000, ,Char. Length,60.8913
Diameter Skewness,1.0632, ,SD Char. Length,53.9278
Diameter Kurtosis,0.5245, ,Max Span Length,303.1249
Fiber Length,11443.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),108.2906
