Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,45.6182, ,Mean Pore Area,4035.7500
Histogram Mean,20.1242, ,Pore Area SD,4895.8615
Histogram SD,9.8411, ,Min. Pore Area,23.0000
Histogram Mode,18.0000, ,Max. Pore Area,23483.0000
Histogram Median,26.0000, ,Percent Porosity,0.3602
Histogram Min Diam.,2.0000, ,Number of Pores,88.0000
Histogram Max Diam.,120.0000, ,# of Intersections,224.0000
Histogram Integrated Density,184194.0000, ,Intersection Density (100x100px),1.8229
Histogram Raw Integrated Density,184194.0000, ,Char. Length,61.2194
Diameter Skewness,0.9021, ,SD Char. Length,52.7341
Diameter Kurtosis,0.1935, ,Max Span Length,328.3919
Fiber Length,11529.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),78.6472
