Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,57.0724, ,Mean Pore Area,4305.4000
Histogram Mean,21.7894, ,Pore Area SD,5937.1282
Histogram SD,24.5235, ,Min. Pore Area,48.0000
Histogram Mode,14.0000, ,Max. Pore Area,24728.0000
Histogram Median,28.0000, ,Percent Porosity,0.3473
Histogram Min Diam.,2.0000, ,Number of Pores,65.0000
Histogram Max Diam.,144.0000, ,# of Intersections,182.0000
Histogram Integrated Density,153046.0000, ,Intersection Density (100x100px),1.4811
Histogram Raw Integrated Density,153046.0000, ,Char. Length,63.5460
Diameter Skewness,1.0960, ,SD Char. Length,52.9601
Diameter Kurtosis,1.2630, ,Max Span Length,307.4214
Fiber Length,8911.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),79.5163
