 Manual1,Manual2 ,Manual3,Manual4,Manual5 ,Manual6,Manual7 ,FiBar,Generated ,SIMPoly,DiameterJ
13.038,22.136,24.04,34.713,23.364,23.42,26.476,36,24,12.1655,4
27.731,21.541,25.71,34.275,22.516,22.77,21.932,13,19,12.6491,4
29.547,19.416,21.21,23.851,20.789,23.16,20.224,26,21,13.4164,4
12.207,24.207,21.93,15.836,19.45,35.44,21,37,12,12.1655,4
13,25.298,27.51,21.357,20.757,27.14,9.393,19,14,26,4
23.77,21.024,23.02,16.75,27.173,21.02,22.755,26,29,25.2982,4
17,12.649,13.6,19.813,33.446,13.46,8.433,20,17,24.7386,4
30.463,15.297,17.49,20.934,14.46,27.13,15.008,22,17,24.3311,4
10,18.248,10,9.397,15.471,15.28,34.713,24,21,24.0832,4
16.401,18.248,21.38,13.532,9.802,19.15,36.401,9,25,24,4
31.241,15.811,25.5,13.886,10.632,20.7,14.56,11,16,24,4
18.028,11.705,16.13,27.474,19.339,13.07,20.1,20,21,24.0832,4
16.155,6.708,29.12,22.322,17.075,18.97,18.111,35,26,24.3311,4
9.487,18.974,20.22,21.369,15.578,15.08,22.091,4,14,24.7386,4
27.313,16.492,21.02,22.838,7.518,21.03,18.028,26,22,25.2982,4
21.213,16.401,24.17,15.135,19.018,23.38,13.601,18,26,26,4
8.485,29.206,32.2,15.004,19.612,8.99,12.369,9,14,12.6491,4
12.207,25.632,8.06,11.319,20.139,11.77,15.524,9,18,27.2029,4
12.166,19,20.62,17.263,17.883,18.8,24.546,22,20,26.0768,4
11.045,19,21.59,8.062,21.735,20.56,23.243,26,9,25.0599,4
18.439,16.401,12.65,20.502,11.195,18.6,21.024,16,16,25.0599,4
23.087,8.062,14.77,19.526,15.167,17.62,20.012,15,33,26.0768,4
21.541,17.263,24.33,23.401,23.647,8.65,26.926,15,8,13.4164,4
26.571,17.464,24.33,19.381,33.842,,19.105,30,11,26.9072,4
18.028,16.763,21.19,19.03,22.656,,13.601,20,21,25.6125,4
20.224,14.866,13.34,22.722,,,12.207,26,14,12.1655,4
16.553,7.28,19.42,27.095,,,24.187,21,22,30.4631,4
19,16.492,15.81,23.037,,,,36,17,26.9072,4
29.411,13.928,,16.632,,,,22,21,25.4558,4
32.757,27.857,,,,,,13,20,12.6491,4
,,,,,,,,,29.5296,4
,,,,,,,,,26.9072,4
,,,,,,,,,25.4558,4
,,,,,,,,,13.4164,4
,,,,,,,,,28.6356,4
,,,,,,,,,27.2029,4
,,,,,,,,,24.0832,4
,,,,,,,,,13.4164,4
,,,,,,,,,27.7849,4
,,,,,,,,,27.7849,4
,,,,,,,,,24,4
,,,,,,,,,12.1655,4
,,,,,,,,,27.2029,4
,,,,,,,,,26.3059,4
,,,,,,,,,23.3238,4
,,,,,,,,,12.6491,4
,,,,,,,,,26.9072,4
,,,,,,,,,26.6833,4
,,,,,,,,,22,4
,,,,,,,,,13.4164,4
,,,,,,,,,26.9072,4
,,,,,,,,,27.2029,4
,,,,,,,,,22,4
,,,,,,,,,12.1655,4
,,,,,,,,,26.9072,4
,,,,,,,,,26.6833,4
,,,,,,,,,22,4
,,,,,,,,,12.6491,4
,,,,,,,,,27.2029,4
,,,,,,,,,26.6833,4
,,,,,,,,,22,4
,,,,,,,,,13.4164,4
,,,,,,,,,27.7849,4
,,,,,,,,,27.2029,4
,,,,,,,,,22,4
,,,,,,,,,12.1655,4
,,,,,,,,,28.6356,4
,,,,,,,,,27.2029,4
,,,,,,,,,22,4
,,,,,,,,,12.6491,4
,,,,,,,,,29.7321,4
,,,,,,,,,49.5177,4
,,,,,,,,,26.3059,4
,,,,,,,,,22,4
,,,,,,,,,13.4164,4
,,,,,,,,,49.5177,4
,,,,,,,,,26.6833,4
,,,,,,,,,21.5407,4
,,,,,,,,,13.4164,4
,,,,,,,,,27.7849,4
,,,,,,,,,26.8328,4
,,,,,,,,,26,4
,,,,,,,,,25.2982,4
,,,,,,,,,24.7386,4
,,,,,,,,,24.3311,4
,,,,,,,,,24.0832,4
,,,,,,,,,24,4
,,,,,,,,,24,4
,,,,,,,,,50.9117,4
,,,,,,,,,27.2029,4
,,,,,,,,,20.8806,4
,,,,,,,,,12.1655,4
,,,,,,,,,22,4
,,,,,,,,,22.0907,4
,,,,,,,,,22.3607,4
,,,,,,,,,22.8035,4
,,,,,,,,,22.8035,4
,,,,,,,,,50.4777,4
,,,,,,,,,26.6833,4
,,,,,,,,,20.3961,4
,,,,,,,,,12.6491,4
,,,,,,,,,22.3607,4
,,,,,,,,,22.8035,4
,,,,,,,,,22.8035,4
,,,,,,,,,50.9902,4
,,,,,,,,,26.6833,4
,,,,,,,,,20.0998,4
,,,,,,,,,13.4164,4
,,,,,,,,,22.3607,4
,,,,,,,,,22.8035,4
,,,,,,,,,22.8035,4
,,,,,,,,,51.225,4
,,,,,,,,,27.2029,4
,,,,,,,,,20,4
,,,,,,,,,12.1655,4
,,,,,,,,,22.3607,4
,,,,,,,,,22.8035,4
,,,,,,,,,23.4094,4
,,,,,,,,,50.9902,4
,,,,,,,,,27.2029,4
,,,,,,,,,20,4
,,,,,,,,,12.6491,4
,,,,,,,,,22.3607,4
,,,,,,,,,22.8035,4
,,,,,,,,,23.4094,4
,,,,,,,,,50.9117,4
,,,,,,,,,26.3059,4
,,,,,,,,,20,4
,,,,,,,,,13.4164,4
,,,,,,,,,27.7849,4
,,,,,,,,,22.0907,4
,,,,,,,,,22.3607,4
,,,,,,,,,22.8035,4
,,,,,,,,,22.8035,4
,,,,,,,,,50.9117,4
,,,,,,,,,26.6833,4
,,,,,,,,,20,4
,,,,,,,,,12.1655,4
,,,,,,,,,26.6833,4
,,,,,,,,,22.3607,4
,,,,,,,,,22.8035,4
,,,,,,,,,22.8035,4
,,,,,,,,,52.1536,4
,,,,,,,,,27.2029,4
