 Manual1,Manual2,Manual3,Manual4,Manual5,Manual6,Manual7,FiBar,Generated,SIMPoly,DiameterJ
23.537,31.048,23.54,31.241,25.533,24.77,27.166,17,22,26,4
33.242,27.893,27.3,32.111,26.828,27.52,20.616,26,12,34.9285,4
26.306,24.331,28.16,20.448,20.765,25.19,19.235,24,19,28,4
26.401,25.495,26.63,18.907,17.278,21.38,25.632,32,26,35.4401,4
11,21.19,22,25.172,25.533,16.9,22.672,39,22,27.7849,4
21.587,19.105,20,25.056,25.369,21.17,22.023,26,24,34.9285,4
25.807,25.298,35.17,17.218,22.722,26.86,23,21,23,28.8444,4
20,25.179,10,26.787,19.739,25.03,12.166,40,22,34.5254,4
25.495,22.472,26.17,24.391,34.81,11.38,36.688,27,19,42.0476,4
22.825,20.224,25.18,16.595,22.962,24.99,17.263,32,22,41.2311,4
17.117,16.125,27.46,20.673,31.082,25.2,27,32,18,40.4969,4
20.396,20.518,18.11,21.169,30.645,17.25,17.263,32,22,39.8497,4
25.71,26.077,21.38,10.835,25.714,25.54,17.205,37,24,39.2938,4
24.331,26.42,36.24,24.833,16.81,21.34,26.306,42,24,38.833,4
31.385,24.187,25,25.18,18.022,17.15,37.855,26,21,38.4708,4
30.48,20.025,22.47,21.375,24.085,35.74,11.045,21,23,38.2099,4
33.302,20.025,20.1,25.194,10.378,21.29,24.515,32,31,38.0526,4
24.021,24.597,34.66,18.926,26.604,24.66,20.025,18,24,30,4
17.72,32.985,33.24,16.56,24.96,25,29.411,17,9,34.9285,4
18.682,23.345,27.51,11.011,18.887,25.12,33.242,48,17,44.4072,4
11.045,25.612,24.02,24.782,34.963,11,20.025,16,15,43.2666,4
63.348,23.601,24.52,35.254,17.114,19.29,26.077,26,23,42.19,4
38.21,37.202,11.18,24.467,16.511,17.1,27.459,26,26,41.1825,4
18,41.037,28.18,26.926,26.453,19.29,16.031,31,16,36,4
12.042,8.062,35.36,26.956,21.458,37.06,26.683,24,19,36,4
28.636,35.903,26.08,35.498,10.955,33.33,26.926,26,26,36,4
26,17,21.38,16.252,,31.02,16.553,26,20,36,4
35.228,16.125,19.11,25.27,,27.27,32.802,24,23,36,4
31.828,17.117,14.42,40.751,,,27.785,34,29,36,4
20.125,15.811,,26.725,,,,53,34,30,4
,,,,,,,,,34.9285,4
,,,,,,,,,45.3431,4
,,,,,,,,,44.0454,4
,,,,,,,,,34.0588,4
,,,,,,,,,34.2345,4
,,,,,,,,,34.5254,4
,,,,,,,,,34.9285,4
,,,,,,,,,35.4401,4
,,,,,,,,,34.9285,4
,,,,,,,,,30.4631,4
,,,,,,,,,34.5254,4
,,,,,,,,,45.1221,4
,,,,,,,,,45.2548,4
,,,,,,,,,34,4
,,,,,,,,,34.0588,4
,,,,,,,,,34.2345,4
,,,,,,,,,34.5254,4
,,,,,,,,,34.176,4
,,,,,,,,,34.9285,4
,,,,,,,,,45.607,4
,,,,,,,,,45.2548,4
,,,,,,,,,33.5261,4
,,,,,,,,,34,4
,,,,,,,,,34,4
,,,,,,,,,35.4401,4
,,,,,,,,,46,4
,,,,,,,,,45.3431,4
,,,,,,,,,32.0624,4
,,,,,,,,,32.249,4
,,,,,,,,,32.5576,4
,,,,,,,,,32.9848,4
,,,,,,,,,32.9848,4
,,,,,,,,,34.9285,4
,,,,,,,,,46,4
,,,,,,,,,44.0454,4
,,,,,,,,,32,4
,,,,,,,,,32,4
,,,,,,,,,32,4
,,,,,,,,,32.0624,4
,,,,,,,,,34.5254,4
,,,,,,,,,46.0435,4
,,,,,,,,,44.4072,4
,,,,,,,,,30.2655,4
,,,,,,,,,30.5941,4
,,,,,,,,,31.0483,4
,,,,,,,,,31.6228,4
,,,,,,,,,55.4617,4
,,,,,,,,,27.2029,4
,,,,,,,,,34.9285,4
,,,,,,,,,46.1736,4
,,,,,,,,,44.9444,4
,,,,,,,,,30,4
,,,,,,,,,30,4
,,,,,,,,,30.0666,4
,,,,,,,,,30.2655,4
,,,,,,,,,30.4631,4
,,,,,,,,,52.8394,4
,,,,,,,,,54,4
,,,,,,,,,54,4
,,,,,,,,,54,4
,,,,,,,,,26.3059,4
,,,,,,,,,25.0599,4
,,,,,,,,,34.9285,4
,,,,,,,,,46.3897,4
,,,,,,,,,42.19,4
,,,,,,,,,29.1204,4
,,,,,,,,,29.7321,4
,,,,,,,,,30,4
,,,,,,,,,48.8262,4
,,,,,,,,,50.4777,4
,,,,,,,,,52.1536,4
,,,,,,,,,52.0384,4
,,,,,,,,,51.8845,4
,,,,,,,,,24,4
,,,,,,,,,34.5254,4
,,,,,,,,,46.6905,4
,,,,,,,,,41.1825,4
,,,,,,,,,28,4
,,,,,,,,,28.0713,4
,,,,,,,,,28.2843,4
,,,,,,,,,28.6356,4
,,,,,,,,,29.1204,4
,,,,,,,,,28.6356,4
,,,,,,,,,48.4149,4
,,,,,,,,,50.3587,4
,,,,,,,,,28.4253,4
,,,,,,,,,22,4
,,,,,,,,,22.0907,4
,,,,,,,,,20.5913,4
,,,,,,,,,34.9285,4
,,,,,,,,,47.0744,4
