FiBar,Generated,SIMPoly,DiameterJ
21,10,16.9706,4
34,20,16.1245,4
21,10,16.1245,4
29,10,20.3961,4
10,15,17.2047,4
32,15,20.5913,4
35,15,17.088,4
25,20,20.0998,4
10,15,16.9706,4
16,15,20.5913,4
16,15,20.8806,4
11,20,20.3961,4
10,10,16.1245,4
16,15,20.8806,4
21,20,20,4
16,20,16.1245,4
21,20,20.5913,4
10,15,18,4
21,10,20.8806,4
21,20,20.8806,4
21,15,16.4924,4
23,20,20.8806,4
22,20,20,4
17,10,17.2047,4
11,15,20.5913,4
21,10,18,4
16,10,20.3961,4
21,15,20.8806,4
17,20,17.088,4
10,20,20.5913,4
20,,20,4
21,,16.9706,4
21,,20.5913,4
21,,18,4
11,,21.5407,4
21,,20.3961,4
30,,16.1245,4
31,,21.5407,4
21,,16.4924,4
21,,22,4
10,,16.1245,4
10,,20.5913,4
16,,18,4
21,,20.5913,4
21,,20.0998,4
21,,17.088,4
17,,30,4
11,,20.5913,4
20,,16.1245,4
20,,22,4
13,,17.2047,4
16,,20.5913,4
16,,18,4
25,,20.8806,4
37,,21.5407,4
16,,16.1245,4
21,,29.7321,4
11,,21.5407,4
9,,16,4
16,,22,4
16,,16.9706,4
11,,20.5913,4
20,,18,4
11,,20.8806,4
20,,20.8806,4
14,,17.088,4
14,,29.1204,4
21,,20.3961,4
11,,17.088,4
27,,22,4
31,,16.1245,4
25,,20.8806,4
11,,18,4
16,,20.3961,4
16,,20.3961,4
11,,16.1245,4
11,,28.6356,4
21,,20.8806,4
11,,16.4924,4
20,,22,4
21,,17.2047,4
21,,20.3961,4
21,,18,4
16,,21.5407,4
21,,21.5407,4
10,,16.4924,4
4,,28,4
11,,20.8806,4
16,,16.1245,4
11,,22.0907,4
23,,16.9706,4
16,,21.5407,4
10,,17.8885,4
11,,20.5913,4
30,,20.8806,4
21,,17.088,4
40,,27.8568,4
21,,20.5913,4
20,,17.088,4
1,,22.3607,4
11,,17.8885,4
21,,20.5913,4
17,,17.088,4
16,,20.8806,4
16,,20.3961,4
27,,16.1245,4
16,,27.2029,4
11,,21.5407,4
11,,16.4924,4
21,,22.8035,4
16,,18.1108,4
10,,21.5407,4
16,,17.8885,4
10,,20.8806,4
16,,20.0998,4
21,,17.088,4
21,,26.6833,4
30,,20.3961,4
19,,16.1245,4
21,,23.3238,4
16,,17.8885,4
21,,20.5913,4
10,,18.1108,4
21,,20.3961,4
16,,21.5407,4
16,,16.1245,4
21,,26.3059,4
16,,20.8806,4
11,,17.088,4
23,,18.868,4
21,,21.5407,4
11,,18.4391,4
11,,21.5407,4
21,,20.8806,4
21,,17.088,4
31,,26.0768,4
34,,20.8806,4
17,,16.4924,4
21,,20,4
24,,21.2603,4
24,,19.799,4
51,,20.5913,4
28,,20.3961,4
10,,16.1245,4
11,,26,4
21,,20.5913,4
11,,16.1245,4
17,,20.0998,4
11,,21.2603,4
16,,19.799,4
38,,20.8806,4
16,,21.5407,4
21,,16.4924,4
10,,25.2982,4
11,,21.5407,4
26,,16,4
21,,20.3961,4
11,,21.2603,4
37,,21.2603,4
16,,20.8806,4
17,,20.8806,4
11,,17.088,4
10,,24.7386,4
12,,20.3961,4
13,,17.088,4
21,,23.3238,4
21,,21.6333,4
17,,21.6333,4
21,,22,4
16,,20.3961,4
19,,20.3961,4
19,,16.1245,4
34,,24.1661,4
17,,20.8806,4
16,,16.4924,4
21,,20,4
21,,20,4
10,,20.0998,4
6,,20.3961,4
21,,20.8806,4
3,,21.5407,4
17,,22,4
17,,22,4
10,,22,4
16,,22,4
22,,22,4
11,,22.0907,4
11,,22.3607,4
16,,22.8035,4
10,,22.8035,4
16,,23.3238,4
21,,23.3238,4
16,,21.5407,4
11,,20.8806,4
21,,17.088,4
23,,24,4
20,,20.8806,4
6,,16.1245,4
21,,24.1661,4
16,,24,4
32,,20.5913,4
21,,20.8806,4
11,,16.1245,4
11,,24,4
17,,20.5913,4
16,,17.088,4
11,,29.7321,4
11,,26,4
16,,26,4
16,,20.8806,4
21,,20.3961,4
21,,17.088,4
11,,24,4
21,,21.5407,6
21,,16.4924,6
21,,26,6
21,,26,6
29,,20.8806,6
10,,20.0998,6
11,,16.1245,6
15,,23.4094,6
21,,20.5913,6
17,,16.1245,6
16,,24.1661,6
21,,23.4094,6
21,,22.8035,6
32,,22.3607,6
16,,22.0907,6
21,,22,6
21,,22,6
26,,22,6
21,,22,6
11,,22,6
21,,21.5407,6
21,,28,6
21,,28,6
30,,20.3961,6
11,,21.5407,6
25,,17.088,6
20,,22.8035,6
14,,21.5407,6
19,,16,6
17,,23.3238,6
10,,20,6
19,,20,6
21,,20.0998,6
17,,20.3961,6
10,,20.8806,6
17,,21.5407,6
19,,22,6
10,,22,6
10,,21.5407,6
21,,30.0666,6
31,,21.5407,6
16,,20.8806,6
16,,16.1245,6
25,,22.3607,6
11,,20.3961,6
16,,17.088,6
10,,20,6
21,,20,6
20,,20.0998,6
11,,20.3961,6
11,,20.8806,6
12,,21.5407,6
10,,22,6
16,,21.5407,6
21,,20.5913,6
21,,20.3961,6
21,,16.4924,6
16,,22,6
21,,20.8806,6
21,,16.4924,6
11,,20,6
15,,20,6
17,,20.0998,6
16,,20.3961,6
20,,20.8806,6
11,,21.5407,6
21,,22,6
10,,22,8
21,,21.5407,8
21,,24.4131,8
21,,25.6125,8
24,,20.8806,8
16,,21.5407,8
11,,17.088,8
21,,22,8
21,,21.5407,8
24,,16.1245,8
40,,20,8
21,,20,8
21,,20.0998,8
16,,20.3961,8
17,,20.8806,8
16,,21.5407,8
11,,22,8
21,,22,8
17,,22,8
22,,22,8
10,,22.0907,8
30,,22.3607,8
21,,22.8035,8
16,,23.4094,8
16,,24,8
16,,24,8
21,,25.4558,8
10,,24.0832,8
20,,20.8806,8
21,,20.8806,8
16,,16.1245,8
20,,22,8
16,,20.5913,8
21,,17.088,8
21,,24.0832,8
10,,22.6274,8
16,,20.3961,8
10,,20.3961,8
21,,17.088,8
21,,21.5407,8
17,,21.5407,8
16,,16.4924,8
21,,23.3238,8
39,,22.8035,8
21,,21.6333,8
25,,21.5407,8
10,,20.8806,8
17,,16.1245,8
16,,20.8806,8
21,,20.3961,8
16,,16.1245,8
22,,24.1661,8
5,,22.3607,8
11,,20.8806,8
16,,20.8806,8
10,,17.088,8
10,,20.3961,8
10,,20.8806,8
21,,16,8
21,,23.4094,8
19,,21.6333,8
21,,32.249,8
16,,20.3961,8
22,,20.3961,8
16,,16.1245,8
19,,20.0998,8
16,,20.8806,8
21,,17.088,8
12,,22.8035,8
21,,21.2603,8
21,,22.6274,8
26,,28.4253,8
21,,30,8
10,,31.6228,8
17,,20.0998,8
12,,20.0998,10
19,,16.4924,10
21,,20,10
10,,20.5913,10
16,,16.4924,10
17,,22.3607,10
16,,22.6274,10
19,,24.0832,10
11,,24,10
10,,23.4094,10
18,,22.8035,10
16,,22.3607,10
21,,22.0907,10
23,,22,10
21,,22,10
18,,22,10
10,,22,10
10,,21.5407,10
21,,25.4558,10
1,,26.9072,10
11,,28.2843,10
30,,22,10
16,,21.5407,10
22,,17.088,10
22,,20,10
16,,21.5407,10
16,,16.1245,10
11,,22.0907,10
21,,24.0832,10
21,,24.4131,10
11,,23.3238,10
16,,20,10
21,,20,10
16,,20.0998,10
21,,20.3961,10
34,,20.8806,10
21,,21.5407,10
11,,22,10
16,,22,10
19,,21.5407,10
10,,24.4131,10
26,,25.6125,10
17,,32.249,10
21,,22,10
22,,20.8806,10
21,,16.1245,10
16,,20,10
17,,20.3961,10
21,,17.088,10
12,,22,10
16,,24.0832,10
21,,20,10
12,,20,10
10,,20.0998,10
11,,20.3961,10
21,,20.8806,10
10,,21.5407,10
15,,22,10
21,,22,10
16,,22,10
19,,22,10
24,,22,10
10,,22.0907,10
27,,22.3607,10
17,,22.8035,10
17,,24,10
26,,24,10
11,,31.6228,10
16,,22.3607,10
29,,20.3961,10
21,,17.088,10
10,,22,10
21,,20.8806,10
31,,16.4924,10
21,,22,10
24,,22,10
22,,31.241,10
11,,23.3238,10
21,,20.0998,10
15,,16.1245,10
21,,22,10
34,,20.8806,10
11,,16.1245,10
6,,22,10
21,,31.1127,10
10,,24.1661,10
17,,20,10
34,,17.088,10
21,,22,10
16,,20.5913,10
16,,16,10
19,,22,10
17,,31.1127,10
19,,24.7386,10
30,,22,10
11,,16.1245,10
11,,22,10
21,,21.5407,10
16,,17.088,10
21,,22,10
11,,25.2982,10
11,,22,10
21,,16.4924,10
17,,22,10
21,,20.3961,10
16,,16.4924,10
16,,21.5407,10
16,,22.3607,10
32,,22.0907,10
21,,17.088,10
22,,22,10
16,,20.8806,10
21,,16.1245,10
11,,20.8806,10
16,,21.6333,10
16,,24.1661,10
16,,23.4094,10
10,,22.8035,10
17,,22.3607,12
21,,22.0907,12
22,,22,12
21,,22,12
20,,22,12
30,,22,12
17,,22,12
40,,22,12
22,,21.5407,12
21,,22.3607,12
19,,16.1245,12
10,,22,12
21,,20.8806,12
10,,17.088,12
11,,20.3961,12
11,,20.5913,12
21,,24.4131,12
16,,23.3238,12
16,,20,12
16,,20,12
27,,20.0998,12
21,,20.3961,12
